country,country_code,nutslevel,nuts2,regionname,type,year,party_abbreviation,party_english,party_native,partyfacts_id,partyvote,electorate,totalvote,validvote,populist,farright,eurosceptic,vote_perc
Austria,AT,2,AT11,Burgenland,EP,2019,EUROPA,NA,NA,NA,1011,234609,155364,151958,0,0,0,0.00650729898818259
Austria,AT,2,AT11,Burgenland,EP,2019,FPO,FREEDOM PARTY OF AUSTRIA,FREIHEITLICHE PARTEI OSTERREICHS,463,26649,234609,155364,151958,1,1,1,0.1715262222908782
Austria,AT,2,AT11,Burgenland,EP,2019,GRUNE,THE GREENS -- THE GREEN ALTERNATIVE,DIE GRUNEN - DIE GRUNE ALTERNATIVE,1659,11819,234609,155364,151958,0,0,0,0.07607296413583585
Austria,AT,2,AT11,Burgenland,EP,2019,NEOS,NEOS  THE NEW AUSTRIA,NEOS - DAS NEUE OSTERREICH,1970,7861,234609,155364,151958,0,0,0,0.05059730696943951
Austria,AT,2,AT11,Burgenland,EP,2019,OTHER,NA,NA,NA,663,234609,155364,151958,0,0,0,0.00426739785278442
Austria,AT,2,AT11,Burgenland,EP,2019,OVP,AUSTRIAN PEOPLE'S PARTY,OSTERREICHISCHE VOLKSPARTEI,1329,53809,234609,155364,151958,0,0,0,0.346341494812183
Austria,AT,2,AT11,Burgenland,EP,2019,SPO,SOCIAL DEMOCRATIC PARTY OF AUSTRIA,SOZIALDEMOKRATISCHE PARTEI OSTERREICHS,1384,50146,234609,155364,151958,0,0,0,0.3227646044128627
Austria,AT,2,AT12,Niederösterreich,EP,2004,FPO,FREEDOM PARTY OF AUSTRIA,FREIHEITLICHE PARTEI OSTERREICHS,463,25280,1186012,643088,620740,1,1,1,0.03931032766899708
Austria,AT,2,AT12,Niederösterreich,EP,2004,GRUNE,THE GREENS -- THE GREEN ALTERNATIVE,DIE GRUNEN - DIE GRUNE ALTERNATIVE,1659,58409,1186012,643088,620740,0,0,0,0.0908258278804767
Austria,AT,2,AT12,Niederösterreich,EP,2004,LDM,NA,NA,NA,92664,1186012,643088,620740,0,0,0,0.14409225487025104
Austria,AT,2,AT12,Niederösterreich,EP,2004,OTHER,NA,NA,NA,3108,1186012,643088,620740,0,0,0,0.00483293110740676
Austria,AT,2,AT12,Niederösterreich,EP,2004,OVP,AUSTRIAN PEOPLE'S PARTY,OSTERREICHISCHE VOLKSPARTEI,1329,233238,1186012,643088,620740,0,0,0,0.3626844226606623
Austria,AT,2,AT12,Niederösterreich,EP,2004,SPO,SOCIAL DEMOCRATIC PARTY OF AUSTRIA,SOZIALDEMOKRATISCHE PARTEI OSTERREICHS,1384,208041,1186012,643088,620740,0,0,0,0.32350315975418603
Austria,AT,2,AT12,Niederösterreich,EP,2009,BZO,ALLIANCE FOR THE FUTURE OF AUSTRIA,BUNDNIS ZUKUNFT OSTERREICH,599,19090,1266289,670656,651851,1,1,1,0.02846466743009829
Austria,AT,2,AT12,Niederösterreich,EP,2009,FPO,FREEDOM PARTY OF AUSTRIA,FREIHEITLICHE PARTEI OSTERREICHS,463,83328,1266289,670656,651851,1,1,1,0.12424849699398798
Austria,AT,2,AT12,Niederösterreich,EP,2009,GRUNE,THE GREENS -- THE GREEN ALTERNATIVE,DIE GRUNEN - DIE GRUNE ALTERNATIVE,1659,44030,1266289,670656,651851,0,0,0,0.06565213760855043
Austria,AT,2,AT12,Niederösterreich,EP,2009,LDM,NA,NA,NA,119814,1266289,670656,651851,0,0,0,0.17865194675064414
Austria,AT,2,AT12,Niederösterreich,EP,2009,OTHER,NA,NA,NA,7046,1266289,670656,651851,0,0,0,0.01050613131023952
Austria,AT,2,AT12,Niederösterreich,EP,2009,OVP,AUSTRIAN PEOPLE'S PARTY,OSTERREICHISCHE VOLKSPARTEI,1329,226799,1266289,670656,651851,0,0,0,0.33817486162801796
Austria,AT,2,AT12,Niederösterreich,EP,2009,SPO,SOCIAL DEMOCRATIC PARTY OF AUSTRIA,SOZIALDEMOKRATISCHE PARTEI OSTERREICHS,1384,151744,1266289,670656,651851,0,0,0,0.22626204790533447
Austria,AT,2,AT12,Niederösterreich,EP,2014,ANDERS,NA,NA,NA,11399,1284727,702716,673844,0,0,0,0.01622134688835888
Austria,AT,2,AT12,Niederösterreich,EP,2014,EUSTOP,NA,NA,NA,21882,1284727,702716,673844,0,0,0,0.03113917998167111
Austria,AT,2,AT12,Niederösterreich,EP,2014,FPO,FREEDOM PARTY OF AUSTRIA,FREIHEITLICHE PARTEI OSTERREICHS,463,128076,1284727,702716,673844,1,1,1,0.1822585511074175
Austria,AT,2,AT12,Niederösterreich,EP,2014,GRUNE,THE GREENS -- THE GREEN ALTERNATIVE,DIE GRUNEN - DIE GRUNE ALTERNATIVE,1659,75257,1284727,702716,673844,0,0,0,0.107094473443041
Austria,AT,2,AT12,Niederösterreich,EP,2014,NEOS,NEOS  THE NEW AUSTRIA,NEOS - DAS NEUE OSTERREICH,1970,50085,1284727,702716,673844,0,0,0,0.07127345897916086
Austria,AT,2,AT12,Niederösterreich,EP,2014,OTHER,NA,NA,NA,2335,1284727,702716,673844,0,0,0,0.00332282173737327
Austria,AT,2,AT12,Niederösterreich,EP,2014,OVP,AUSTRIAN PEOPLE'S PARTY,OSTERREICHISCHE VOLKSPARTEI,1329,222078,1284727,702716,673844,0,0,0,0.3160280966990932
Austria,AT,2,AT12,Niederösterreich,EP,2014,REKOS,THE REFORM CONSERVATIVES,DIE REFORMKONSERVATIVEN,2991,7813,1284727,702716,673844,0,0,0,0.0111182896077505
Austria,AT,2,AT12,Niederösterreich,EP,2014,SPO,SOCIAL DEMOCRATIC PARTY OF AUSTRIA,SOZIALDEMOKRATISCHE PARTEI OSTERREICHS,1384,154919,1284727,702716,673844,0,0,0,0.22045748211226157
Austria,AT,2,AT12,Niederösterreich,EP,2019,EUROPA,NA,NA,NA,7811,1295527,870508,853764,0,0,0,0.0089729215584463309
Austria,AT,2,AT12,Niederösterreich,EP,2019,FPO,FREEDOM PARTY OF AUSTRIA,FREIHEITLICHE PARTEI OSTERREICHS,463,152023,1295527,870508,853764,1,1,1,0.17463710844702174
Austria,AT,2,AT12,Niederösterreich,EP,2019,GRUNE,THE GREENS -- THE GREEN ALTERNATIVE,DIE GRUNEN - DIE GRUNE ALTERNATIVE,1659,89730,1295527,870508,853764,0,0,0,0.10307774311091916
Austria,AT,2,AT12,Niederösterreich,EP,2019,NEOS,NEOS  THE NEW AUSTRIA,NEOS - DAS NEUE OSTERREICH,1970,66318,1295527,870508,853764,0,0,0,0.07618310228050747
Austria,AT,2,AT12,Niederösterreich,EP,2019,OTHER,NA,NA,NA,5037,1295527,870508,853764,0,0,0,0.0057862765189981
Austria,AT,2,AT12,Niederösterreich,EP,2019,OVP,AUSTRIAN PEOPLE'S PARTY,OSTERREICHISCHE VOLKSPARTEI,1329,342105,1295527,870508,853764,0,0,0,0.3929946651840075
Austria,AT,2,AT12,Niederösterreich,EP,2019,SPO,SOCIAL DEMOCRATIC PARTY OF AUSTRIA,SOZIALDEMOKRATISCHE PARTEI OSTERREICHS,1384,190740,1295527,870508,853764,0,0,0,0.21911343721137544
Austria,AT,2,AT13,Wien,EP,2004,FPO,FREEDOM PARTY OF AUSTRIA,FREIHEITLICHE PARTEI OSTERREICHS,463,21992,1124890,405208,398644,1,1,1,0.05427336084183925
Austria,AT,2,AT13,Wien,EP,2004,GRUNE,THE GREENS -- THE GREEN ALTERNATIVE,DIE GRUNEN - DIE GRUNE ALTERNATIVE,1659,88600,1124890,405208,398644,0,0,0,0.2186531361671043
Austria,AT,2,AT13,Wien,EP,2004,LDM,NA,NA,NA,55470,1124890,405208,398644,0,0,0,0.1368926575980731
Austria,AT,2,AT13,Wien,EP,2004,LINKE,NA,NA,NA,6757,1124890,405208,398644,0,0,0,0.01667538646818424
Austria,AT,2,AT13,Wien,EP,2004,OVP,AUSTRIAN PEOPLE'S PARTY,OSTERREICHISCHE VOLKSPARTEI,1329,75674,1124890,405208,398644,0,0,0,0.18675346982290575
Austria,AT,2,AT13,Wien,EP,2004,SPO,SOCIAL DEMOCRATIC PARTY OF AUSTRIA,SOZIALDEMOKRATISCHE PARTEI OSTERREICHS,1384,150151,1124890,405208,398644,0,0,0,0.370552901226037
Austria,AT,2,AT13,Wien,EP,2009,BZO,ALLIANCE FOR THE FUTURE OF AUSTRIA,BUNDNIS ZUKUNFT OSTERREICH,599,12854,1162709,498531,491178,1,1,1,0.02578375266533074
Austria,AT,2,AT13,Wien,EP,2009,FPO,FREEDOM PARTY OF AUSTRIA,FREIHEITLICHE PARTEI OSTERREICHS,463,75271,1162709,498531,491178,1,1,1,0.15098559568010816
Austria,AT,2,AT13,Wien,EP,2009,GRUNE,THE GREENS -- THE GREEN ALTERNATIVE,DIE GRUNEN - DIE GRUNE ALTERNATIVE,1659,83525,1162709,498531,491178,0,0,0,0.1675422390984713
Austria,AT,2,AT13,Wien,EP,2009,JULIS,NA,NA,NA,5814,1162709,498531,491178,0,0,0,0.01166226373084121
Austria,AT,2,AT13,Wien,EP,2009,KPO,COMMUNIST PARTY OF AUSTRIA,KOMMUNISTISCHE PARTEI OSTERREICHS,996,6039,1162709,498531,491178,0,0,0,0.0121135897266168
Austria,AT,2,AT13,Wien,EP,2009,LDM,NA,NA,NA,77858,1162709,498531,491178,0,0,0,0.15617484168487014
Austria,AT,2,AT13,Wien,EP,2009,OVP,AUSTRIAN PEOPLE'S PARTY,OSTERREICHISCHE VOLKSPARTEI,1329,89500,1162709,498531,491178,0,0,0,0.1795274516529564
Austria,AT,2,AT13,Wien,EP,2009,SPO,SOCIAL DEMOCRATIC PARTY OF AUSTRIA,SOZIALDEMOKRATISCHE PARTEI OSTERREICHS,1384,140317,1162709,498531,491178,0,0,0,0.281460932218859
Austria,AT,2,AT13,Wien,EP,2014,ANDERS,NA,NA,NA,19523,1163061,503284,493898,0,0,0,0.03879121927182267
Austria,AT,2,AT13,Wien,EP,2014,EUSTOP,NA,NA,NA,11799,1163061,503284,493898,0,0,0,0.02344401967874997
Austria,AT,2,AT13,Wien,EP,2014,FPO,FREEDOM PARTY OF AUSTRIA,FREIHEITLICHE PARTEI OSTERREICHS,463,89963,1163061,503284,493898,1,1,1,0.17875195714546857
Austria,AT,2,AT13,Wien,EP,2014,GRUNE,THE GREENS -- THE GREEN ALTERNATIVE,DIE GRUNEN - DIE GRUNE ALTERNATIVE,1659,103249,1163061,503284,493898,0,0,0,0.2051505710493479
Austria,AT,2,AT13,Wien,EP,2014,NEOS,NEOS  THE NEW AUSTRIA,NEOS - DAS NEUE OSTERREICH,1970,44891,1163061,503284,493898,0,0,0,0.08919615962359224
Austria,AT,2,AT13,Wien,EP,2014,OTHER,NA,NA,NA,1516,1163061,503284,493898,0,0,0,0.00301221576684337
Austria,AT,2,AT13,Wien,EP,2014,OVP,AUSTRIAN PEOPLE'S PARTY,OSTERREICHISCHE VOLKSPARTEI,1329,81974,1163061,503284,493898,0,0,0,0.16287821587811255
Austria,AT,2,AT13,Wien,EP,2014,REKOS,THE REFORM CONSERVATIVES,DIE REFORMKONSERVATIVEN,2991,4592,1163061,503284,493898,0,0,0,0.00912407308795829
Austria,AT,2,AT13,Wien,EP,2014,SPO,SOCIAL DEMOCRATIC PARTY OF AUSTRIA,SOZIALDEMOKRATISCHE PARTEI OSTERREICHS,1384,136391,1163061,503284,493898,0,0,0,0.271002058479904
Austria,AT,2,AT13,Wien,EP,2019,EUROPA,NA,NA,NA,10573,1157681,679709,673653,0,0,0,0.01555518611641158
Austria,AT,2,AT13,Wien,EP,2019,FPO,FREEDOM PARTY OF AUSTRIA,FREIHEITLICHE PARTEI OSTERREICHS,463,97010,1157681,679709,673653,1,1,1,0.14272284168666297
Austria,AT,2,AT13,Wien,EP,2019,GRUNE,THE GREENS -- THE GREEN ALTERNATIVE,DIE GRUNEN - DIE GRUNE ALTERNATIVE,1659,140334,1157681,679709,673653,0,0,0,0.2064618829528519
Austria,AT,2,AT13,Wien,EP,2019,KPO,COMMUNIST PARTY OF AUSTRIA,KOMMUNISTISCHE PARTEI OSTERREICHS,996,8470,1157681,679709,673653,0,0,0,0.01246121501995707
Austria,AT,2,AT13,Wien,EP,2019,NEOS,NEOS  THE NEW AUSTRIA,NEOS - DAS NEUE OSTERREICH,1970,69014,1157681,679709,673653,0,0,0,0.1015346273184554
Austria,AT,2,AT13,Wien,EP,2019,OVP,AUSTRIAN PEOPLE'S PARTY,OSTERREICHISCHE VOLKSPARTEI,1329,144073,1157681,679709,673653,0,0,0,0.2119627664191588
Austria,AT,2,AT13,Wien,EP,2019,SPO,SOCIAL DEMOCRATIC PARTY OF AUSTRIA,SOZIALDEMOKRATISCHE PARTEI OSTERREICHS,1384,204179,1157681,679709,673653,0,0,0,0.3003917853081245
Austria,AT,2,AT21,Kärnten,EP,2004,FPO,FREEDOM PARTY OF AUSTRIA,FREIHEITLICHE PARTEI OSTERREICHS,463,29105,433621,153852,149969,1,1,1,0.18917531133816912
Austria,AT,2,AT21,Kärnten,EP,2004,GRUNE,THE GREENS -- THE GREEN ALTERNATIVE,DIE GRUNEN - DIE GRUNE ALTERNATIVE,1659,13368,433621,153852,149969,0,0,0,0.08688869822946728
Austria,AT,2,AT21,Kärnten,EP,2004,LDM,NA,NA,NA,18887,433621,153852,149969,0,0,0,0.12276083508826664
Austria,AT,2,AT21,Kärnten,EP,2004,OTHER,NA,NA,NA,831,433621,153852,149969,0,0,0,0.00540129475079946
Austria,AT,2,AT21,Kärnten,EP,2004,OVP,AUSTRIAN PEOPLE'S PARTY,OSTERREICHISCHE VOLKSPARTEI,1329,33236,433621,153852,149969,0,0,0,0.21602579101994124
Austria,AT,2,AT21,Kärnten,EP,2004,SPO,SOCIAL DEMOCRATIC PARTY OF AUSTRIA,SOZIALDEMOKRATISCHE PARTEI OSTERREICHS,1384,54542,433621,153852,149969,0,0,0,0.35450952863791174
Austria,AT,2,AT21,Kärnten,EP,2009,BZO,ALLIANCE FOR THE FUTURE OF AUSTRIA,BUNDNIS ZUKUNFT OSTERREICH,599,31382,450336,149060,146087,1,1,1,0.2105326714074869
Austria,AT,2,AT21,Kärnten,EP,2009,FPO,FREEDOM PARTY OF AUSTRIA,FREIHEITLICHE PARTEI OSTERREICHS,463,9989,450336,149060,146087,1,1,1,0.06701328324164765
Austria,AT,2,AT21,Kärnten,EP,2009,GRUNE,THE GREENS -- THE GREEN ALTERNATIVE,DIE GRUNEN - DIE GRUNE ALTERNATIVE,1659,10272,450336,149060,146087,0,0,0,0.06891184757815645
Austria,AT,2,AT21,Kärnten,EP,2009,LDM,NA,NA,NA,26339,450336,149060,146087,0,0,0,0.1767006574533745
Austria,AT,2,AT21,Kärnten,EP,2009,OTHER,NA,NA,NA,1364,450336,149060,146087,0,0,0,0.00915067757949818
Austria,AT,2,AT21,Kärnten,EP,2009,OVP,AUSTRIAN PEOPLE'S PARTY,OSTERREICHISCHE VOLKSPARTEI,1329,29679,450336,149060,146087,0,0,0,0.1991077418489199
Austria,AT,2,AT21,Kärnten,EP,2009,SPO,SOCIAL DEMOCRATIC PARTY OF AUSTRIA,SOZIALDEMOKRATISCHE PARTEI OSTERREICHS,1384,37062,450336,149060,146087,0,0,0,0.24863813229571985
Austria,AT,2,AT21,Kärnten,EP,2014,ANDERS,NA,NA,NA,2369,445394,173654,168366,0,0,0,0.01364206986306102
Austria,AT,2,AT21,Kärnten,EP,2014,BZO,ALLIANCE FOR THE FUTURE OF AUSTRIA,BUNDNIS ZUKUNFT OSTERREICH,599,2391,445394,173654,168366,1,1,1,0.01376875856588388
Austria,AT,2,AT21,Kärnten,EP,2014,EUSTOP,NA,NA,NA,6985,445394,173654,168366,0,0,0,0.04022366314625635
Austria,AT,2,AT21,Kärnten,EP,2014,FPO,FREEDOM PARTY OF AUSTRIA,FREIHEITLICHE PARTEI OSTERREICHS,463,34002,445394,173654,168366,1,1,1,0.1958031487901229
Austria,AT,2,AT21,Kärnten,EP,2014,GRUNE,THE GREENS -- THE GREEN ALTERNATIVE,DIE GRUNEN - DIE GRUNE ALTERNATIVE,1659,20987,445394,173654,168366,0,0,0,0.12085526391560228
Austria,AT,2,AT21,Kärnten,EP,2014,NEOS,NEOS  THE NEW AUSTRIA,NEOS - DAS NEUE OSTERREICH,1970,11035,445394,173654,168366,0,0,0,0.06354590162046368
Austria,AT,2,AT21,Kärnten,EP,2014,OVP,AUSTRIAN PEOPLE'S PARTY,OSTERREICHISCHE VOLKSPARTEI,1329,33586,445394,173654,168366,0,0,0,0.1934075805912907
Austria,AT,2,AT21,Kärnten,EP,2014,REKOS,THE REFORM CONSERVATIVES,DIE REFORMKONSERVATIVEN,2991,1853,445394,173654,168366,0,0,0,0.01067064392412498
Austria,AT,2,AT21,Kärnten,EP,2014,SPO,SOCIAL DEMOCRATIC PARTY OF AUSTRIA,SOZIALDEMOKRATISCHE PARTEI OSTERREICHS,1384,55158,445394,173654,168366,0,0,0,0.3176316122865007
Austria,AT,2,AT21,Kärnten,EP,2019,EUROPA,NA,NA,NA,2134,439039,228553,224383,0,0,0,0.00933700279585041
Austria,AT,2,AT21,Kärnten,EP,2019,FPO,FREEDOM PARTY OF AUSTRIA,FREIHEITLICHE PARTEI OSTERREICHS,463,48400,439039,228553,224383,1,1,1,0.2117670737203187
Austria,AT,2,AT21,Kärnten,EP,2019,GRUNE,THE GREENS -- THE GREEN ALTERNATIVE,DIE GRUNEN - DIE GRUNE ALTERNATIVE,1659,22160,439039,228553,224383,0,0,0,0.09695781722401368
Austria,AT,2,AT21,Kärnten,EP,2019,NEOS,NEOS  THE NEW AUSTRIA,NEOS - DAS NEUE OSTERREICH,1970,17259,439039,228553,224383,0,0,0,0.07551421333345001
Austria,AT,2,AT21,Kärnten,EP,2019,OTHER,NA,NA,NA,1411,439039,228553,224383,0,0,0,0.00617362274833408
Austria,AT,2,AT21,Kärnten,EP,2019,OVP,AUSTRIAN PEOPLE'S PARTY,OSTERREICHISCHE VOLKSPARTEI,1329,64841,439039,228553,224383,0,0,0,0.28370224849378484
Austria,AT,2,AT21,Kärnten,EP,2019,SPO,SOCIAL DEMOCRATIC PARTY OF AUSTRIA,SOZIALDEMOKRATISCHE PARTEI OSTERREICHS,1384,68178,439039,228553,224383,0,0,0,0.2983028006633035
Austria,AT,2,AT22,Steiermark,EP,2004,FPO,FREEDOM PARTY OF AUSTRIA,FREIHEITLICHE PARTEI OSTERREICHS,463,22061,936389,342811,335563,1,1,1,0.06435324420744959
Austria,AT,2,AT22,Steiermark,EP,2004,GRUNE,THE GREENS -- THE GREEN ALTERNATIVE,DIE GRUNEN - DIE GRUNE ALTERNATIVE,1659,33607,936389,342811,335563,0,0,0,0.09803361035672718
Austria,AT,2,AT22,Steiermark,EP,2004,LDM,NA,NA,NA,40286,936389,342811,335563,0,0,0,0.11751664911569348
Austria,AT,2,AT22,Steiermark,EP,2004,LINKE,NA,NA,NA,1277,936389,342811,335563,0,0,0,0.00372508466764485
Austria,AT,2,AT22,Steiermark,EP,2004,OTHER,NA,NA,NA,1205,936389,342811,335563,0,0,0,0.0035150564013406798
Austria,AT,2,AT22,Steiermark,EP,2004,OVP,AUSTRIAN PEOPLE'S PARTY,OSTERREICHISCHE VOLKSPARTEI,1329,116956,936389,342811,335563,0,0,0,0.34116758213709597
Austria,AT,2,AT22,Steiermark,EP,2004,SPO,SOCIAL DEMOCRATIC PARTY OF AUSTRIA,SOZIALDEMOKRATISCHE PARTEI OSTERREICHS,1384,120171,936389,342811,335563,0,0,0,0.35054592763942816
Austria,AT,2,AT22,Steiermark,EP,2009,BZO,ALLIANCE FOR THE FUTURE OF AUSTRIA,BUNDNIS ZUKUNFT OSTERREICH,599,18810,972619,365216,359090,1,1,1,0.05150376763340051
Austria,AT,2,AT22,Steiermark,EP,2009,FPO,FREEDOM PARTY OF AUSTRIA,FREIHEITLICHE PARTEI OSTERREICHS,463,45640,972619,365216,359090,1,1,1,0.1249671427319723
Austria,AT,2,AT22,Steiermark,EP,2009,GRUNE,THE GREENS -- THE GREEN ALTERNATIVE,DIE GRUNEN - DIE GRUNE ALTERNATIVE,1659,29766,972619,365216,359090,0,0,0,0.0815024533426794
Austria,AT,2,AT22,Steiermark,EP,2009,JULIS,NA,NA,NA,1214,972619,365216,359090,0,0,0,0.0033240602821344
Austria,AT,2,AT22,Steiermark,EP,2009,KPO,COMMUNIST PARTY OF AUSTRIA,KOMMUNISTISCHE PARTEI OSTERREICHS,996,1331,972619,365216,359090,0,0,0,0.00364441864540436
Austria,AT,2,AT22,Steiermark,EP,2009,LDM,NA,NA,NA,62152,972619,365216,359090,0,0,0,0.1701787435380706
Austria,AT,2,AT22,Steiermark,EP,2009,OTHER,NA,NA,NA,2614,972619,365216,359090,0,0,0,0.00715740821869797
Austria,AT,2,AT22,Steiermark,EP,2009,OVP,AUSTRIAN PEOPLE'S PARTY,OSTERREICHISCHE VOLKSPARTEI,1329,110721,972619,365216,359090,0,0,0,0.3031657977744677
Austria,AT,2,AT22,Steiermark,EP,2009,SPO,SOCIAL DEMOCRATIC PARTY OF AUSTRIA,SOZIALDEMOKRATISCHE PARTEI OSTERREICHS,1384,86842,972619,365216,359090,0,0,0,0.23778257250503812
Austria,AT,2,AT22,Steiermark,EP,2014,ANDERS,NA,NA,NA,8378,974567,414699,406115,0,0,0,0.02020260478081693
Austria,AT,2,AT22,Steiermark,EP,2014,EUSTOP,NA,NA,NA,9450,974567,414699,406115,0,0,0,0.02278761221994748
Austria,AT,2,AT22,Steiermark,EP,2014,FPO,FREEDOM PARTY OF AUSTRIA,FREIHEITLICHE PARTEI OSTERREICHS,463,98446,974567,414699,406115,1,1,1,0.2373914574185132
Austria,AT,2,AT22,Steiermark,EP,2014,GRUNE,THE GREENS -- THE GREEN ALTERNATIVE,DIE GRUNEN - DIE GRUNE ALTERNATIVE,1659,53038,974567,414699,406115,0,0,0,0.12789517216101318
Austria,AT,2,AT22,Steiermark,EP,2014,NEOS,NEOS  THE NEW AUSTRIA,NEOS - DAS NEUE OSTERREICH,1970,35367,974567,414699,406115,0,0,0,0.08528354300347964
Austria,AT,2,AT22,Steiermark,EP,2014,OTHER,NA,NA,NA,2227,974567,414699,406115,0,0,0,0.00537016004379079
Austria,AT,2,AT22,Steiermark,EP,2014,OVP,AUSTRIAN PEOPLE'S PARTY,OSTERREICHISCHE VOLKSPARTEI,1329,102630,974567,414699,406115,0,0,0,0.24748070287123913
Austria,AT,2,AT22,Steiermark,EP,2014,REKOS,THE REFORM CONSERVATIVES,DIE REFORMKONSERVATIVEN,2991,4187,974567,414699,406115,0,0,0,0.01009647961533546
Austria,AT,2,AT22,Steiermark,EP,2014,SPO,SOCIAL DEMOCRATIC PARTY OF AUSTRIA,SOZIALDEMOKRATISCHE PARTEI OSTERREICHS,1384,92392,974567,414699,406115,0,0,0,0.2227929172725278
Austria,AT,2,AT22,Steiermark,EP,2019,EUROPA,NA,NA,NA,4785,966119,547867,542211,0,0,0,0.0087338715418158
Austria,AT,2,AT22,Steiermark,EP,2019,FPO,FREEDOM PARTY OF AUSTRIA,FREIHEITLICHE PARTEI OSTERREICHS,463,107040,966119,547867,542211,1,1,1,0.19537588502318992
Austria,AT,2,AT22,Steiermark,EP,2019,GRUNE,THE GREENS -- THE GREEN ALTERNATIVE,DIE GRUNEN - DIE GRUNE ALTERNATIVE,1659,71922,966119,547867,542211,0,0,0,0.13127638642225212
