"REG_ID","Regions","IND","Indicator","MEAS","Measure","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CL03","Atacama","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.391,,
"CL04","Coquimbo","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.4,,
"CL05","Valparaíso","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.436,,
"CL06","O'Higgins","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.393,,
"CL07","Maule","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.409,,
"CL08","Bío-Bío","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.412,,
"CL09","Araucanía","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.449,,
"CL10","Los Lagos","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.441,,
"CL11","Aysén","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.439,,
"CL12","Magallanes y Antártica","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.423,,
"CL13","Santiago Metropolitan","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.484,,
"CL14","Los Rios","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.44,,
"CL15","Arica Y Parinacota","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.403,,
"CZE","Czech Republic","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.262,,
"CZ01","Prague","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.3,,
"CZ02","Central Bohemian Region","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.249,,
"CZ03","Southwest","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.24,,
"CZ04","Northwest","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.266,,
"CZ05","Northeast","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.237,,
"CZ06","Southeast","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.249,,
"CZ07","Central Moravia","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.256,,
"CZ08","Moravia-Silesia","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.247,,
"DNK","Denmark","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.254,,
"DK01","Capital (DK)","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.283,,
"DK02","Zealand","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.234,,
"DK03","Southern Denmark","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.237,,
"DK04","Central Jutland","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.242,,
"DK05","Northern Jutland","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.235,,
"FIN","Finland","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.257,,
"FI19","Western Finland","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.251,,
"FI1C","Southern Finland","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.242,,
"FI1D","Eastern and Northern Finland","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.243,,
"FRA","France","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2010","2010","0_TO_1","0-1 scale","0","Units",,,0.302,,
"FR10","Ile de France","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2010","2010","0_TO_1","0-1 scale","0","Units",,,0.343,,
"FR21","Champagne-Ardenne","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2010","2010","0_TO_1","0-1 scale","0","Units",,,0.282,,
"FR22","Picardy","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2010","2010","0_TO_1","0-1 scale","0","Units",,,0.269,,
"FR23","Upper Normandy","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2010","2010","0_TO_1","0-1 scale","0","Units",,,0.253,,
"FR24","Centre (FR)","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2010","2010","0_TO_1","0-1 scale","0","Units",,,0.258,,
"FR25","Lower Normandy ","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2010","2010","0_TO_1","0-1 scale","0","Units",,,0.268,,
"FR26","Burgundy","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2010","2010","0_TO_1","0-1 scale","0","Units",,,0.311,,
"FR30","Nord-Pas-de-Calais","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2010","2010","0_TO_1","0-1 scale","0","Units",,,0.296,,
"FR41","Lorraine","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2010","2010","0_TO_1","0-1 scale","0","Units",,,0.269,,
"FR42","Alsace ","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2010","2010","0_TO_1","0-1 scale","0","Units",,,0.317,,
"FR43","Franche-Comté","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2010","2010","0_TO_1","0-1 scale","0","Units",,,0.259,,
"FR51","Pays de la Loire","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2010","2010","0_TO_1","0-1 scale","0","Units",,,0.272,,
"FR52","Brittany","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2010","2010","0_TO_1","0-1 scale","0","Units",,,0.27,,
"FR53","Poitou-Charentes","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2010","2010","0_TO_1","0-1 scale","0","Units",,,0.263,,
"FR61","Aquitaine","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2010","2010","0_TO_1","0-1 scale","0","Units",,,0.281,,
"FR62","Midi-Pyrénées","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2010","2010","0_TO_1","0-1 scale","0","Units",,,0.272,,
"FR63","Limousin","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2010","2010","0_TO_1","0-1 scale","0","Units",,,0.272,,
"FR71","Rhône-Alpes","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2010","2010","0_TO_1","0-1 scale","0","Units",,,0.288,,
"FR72","Auvergne","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2010","2010","0_TO_1","0-1 scale","0","Units",,,0.308,,
"FR81","Languedoc-Roussillon ","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2010","2010","0_TO_1","0-1 scale","0","Units",,,0.302,,
"FR82","Provence-Alpes-Côte d'Azur","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2010","2010","0_TO_1","0-1 scale","0","Units",,,0.304,,
"FR83","Corsica","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2010","2010","0_TO_1","0-1 scale","0","Units",,,0.347,,
"DEU","Germany","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.292,,
"DE1","Baden-Württemberg ","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.28,,
"DE2","Bavaria","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.294,,
"DE3","Berlin","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.288,,
"DE4","Brandenburg","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.281,,
"DE7","Hesse","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.317,,
"DE8","Mecklenburg-Vorpommern","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.26,,
"DE9","Lower Saxony ","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.274,,
"DEA","North Rhine-Westphalia","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.3,,
"DEB","Rhineland-Palatinate","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.286,,
"DED","Saxony","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.236,,
"DEE","Saxony-Anhalt","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.271,,
"DEF","Schleswig-Holstein","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.273,,
"DEG","Thuringia","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.273,,
"GRC","Greece","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.343,,
"GR1","Northern Greece","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.326,,
"GR2","Central Greece","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.312,,
"GR3","Athens","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.355,,
"GR4","Aegean Islands and Crete","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.325,,
"HUN","Hungary","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.278,,
"HU1","Central Hungary","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.286,,
"HU2","Transdanubia","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.265,,
"HU3","Great Plain and North","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.267,,
"ISR","Israel","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2014","2014","0_TO_1","0-1 scale","0","Units",,,0.365,,
"IL01","Jerusalem District","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2014","2014","0_TO_1","0-1 scale","0","Units",,,0.426,,
"IL02","Northern District","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2014","2014","0_TO_1","0-1 scale","0","Units",,,0.377,,
"IL03","Haifa District","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2014","2014","0_TO_1","0-1 scale","0","Units",,,0.352,,
"IL04","Central District","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2014","2014","0_TO_1","0-1 scale","0","Units",,,0.319,,
"IL05","Tel Aviv District","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2014","2014","0_TO_1","0-1 scale","0","Units",,,0.345,,
"IL06","Southern District","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2014","2014","0_TO_1","0-1 scale","0","Units",,,0.292,,
"ITA","Italy","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.325,,
"ITC1","Piedmont","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.286,,
"ITC2","Aosta Valley","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.245,,
"ITC3","Liguria","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.322,,
"ITC4","Lombardy","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.304,,
"ITF1","Abruzzo","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.311,,
"ITF2","Molise","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.289,,
"ITF3","Campania","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.353,,
"ITF4","Apulia","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.307,,
"ITF5","Basilicata ","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.294,,
"ITF6","Calabria","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.326,,
"ITG1","Sicily","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.369,,
"ITG2","Sardinia","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.311,,
"ITH1","Province of Bolzano-Bozen","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.273,,
"ITH2","Province of Trento","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.282,,
"ITH3","Veneto","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.269,,
"ITH4","Friuli-Venezia Giulia","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.261,,
"ITH5","Emilia–Romagna","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.302,,
"ITI1","Tuscany","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.28,,
"ITI2","Umbria","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.307,,
"ITI3","Marche","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.293,,
"ITI4","Lazio","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.347,,
"JPN","Japan","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2009","2009","0_TO_1","0-1 scale","0","Units",,,0.301,,
"JPA","Hokkaido","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2009","2009","0_TO_1","0-1 scale","0","Units",,,0.327,,
"JPB","Tohoku","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2009","2009","0_TO_1","0-1 scale","0","Units",,,0.292,,
"JPC","Northern-Kanto, Koshin","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2009","2009","0_TO_1","0-1 scale","0","Units",,,0.294,,
"JPD","Southern-Kanto","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2009","2009","0_TO_1","0-1 scale","0","Units",,,0.3,,
"JPE","Hokuriku","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2009","2009","0_TO_1","0-1 scale","0","Units",,,0.277,,
"JPF","Toukai","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2009","2009","0_TO_1","0-1 scale","0","Units",,,0.275,,
"JPG","Kansai region","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2009","2009","0_TO_1","0-1 scale","0","Units",,,0.302,,
"JPH","Chugoku","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2009","2009","0_TO_1","0-1 scale","0","Units",,,0.271,,
"JPI","Shikoku","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2009","2009","0_TO_1","0-1 scale","0","Units",,,0.311,,
"JPJ","Kyushu, Okinawa","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2009","2009","0_TO_1","0-1 scale","0","Units",,,0.314,,
"MEX","Mexico","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2014","2014","0_TO_1","0-1 scale","0","Units",,,0.474,,
"ME01","Aguascalientes","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2014","2014","0_TO_1","0-1 scale","0","Units",,,0.446,,
"ME02","Baja California Norte","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2014","2014","0_TO_1","0-1 scale","0","Units",,,0.417,,
"ME03","Baja California Sur","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2014","2014","0_TO_1","0-1 scale","0","Units",,,0.426,,
"ME04","Campeche","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2014","2014","0_TO_1","0-1 scale","0","Units",,,0.478,,
"ME05","Coahuila","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2014","2014","0_TO_1","0-1 scale","0","Units",,,0.441,,
"ME06","Colima","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2014","2014","0_TO_1","0-1 scale","0","Units",,,0.433,,
"ME07","Chiapas","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2014","2014","0_TO_1","0-1 scale","0","Units",,,0.492,,
"ME08","Chihuahua","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2014","2014","0_TO_1","0-1 scale","0","Units",,,0.441,,
"ME09","Federal District (MX)","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2014","2014","0_TO_1","0-1 scale","0","Units",,,0.482,,
"ME10","Durango","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2014","2014","0_TO_1","0-1 scale","0","Units",,,0.43,,
"ME11","Guanajuato","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2014","2014","0_TO_1","0-1 scale","0","Units",,,0.412,,
"ME12","Guerrero","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2014","2014","0_TO_1","0-1 scale","0","Units",,,0.478,,
"ME13","Hidalgo","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2014","2014","0_TO_1","0-1 scale","0","Units",,,0.481,,
"ME14","Jalisco","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2014","2014","0_TO_1","0-1 scale","0","Units",,,0.438,,
"ME15","Mexico","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2014","2014","0_TO_1","0-1 scale","0","Units",,,0.437,,
"ME16","Michoacan","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2014","2014","0_TO_1","0-1 scale","0","Units",,,0.438,,
"ME17","Morelos","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2014","2014","0_TO_1","0-1 scale","0","Units",,,0.443,,
"ME18","Nayarit","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2014","2014","0_TO_1","0-1 scale","0","Units",,,0.466,,
"ME19","Nuevo Leon","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2014","2014","0_TO_1","0-1 scale","0","Units",,,0.423,,
"ME20","Oaxaca","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2014","2014","0_TO_1","0-1 scale","0","Units",,,0.502,,
"ME21","Puebla","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2014","2014","0_TO_1","0-1 scale","0","Units",,,0.454,,
"ME22","Queretaro","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2014","2014","0_TO_1","0-1 scale","0","Units",,,0.457,,
"ME23","Quintana Roo","GINI","Gini (at disposable income, after taxes and transfers)","VALUE","Value","2014","2014","0_TO_1","0-1 scale","0","Units",,,0.418,,
