"TL","Territory Level and Typology","REG_ID","Region","SERIES","SNA Classification","VAR","Indicator","MEAS","Measure","POS","Position","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"2","Large regions (TL2)","ZA01","Eastern Cape","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2005","2005",,,"0","Units",,,24.3,,
"2","Large regions (TL2)","ES30","Madrid","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2007","2007",,,"0","Units",,,55.1,,
"2","Large regions (TL2)","ES52","Valencia","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2005","2005",,,"0","Units",,,44,,
"2","Large regions (TL2)","ZA02","Free State","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2006","2006",,,"0","Units",,,36.7,,
"2","Large regions (TL2)","TR63","Mediterranean region - East ","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2011","2011",,,"0","Units",,,29.6,,
"2","Large regions (TL2)","US35","New Mexico","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2011","2011",,,"0","Units",,,40.2,,
"2","Large regions (TL2)","US42","Pennsylvania","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2011","2011",,,"0","Units",,,45.9,,
"2","Large regions (TL2)","SE22","South Sweden","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2010","2010",,,"0","Units",,,45.2,,
"2","Large regions (TL2)","HU21","Central Transdanubia","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2008","2008",,,"0","Units",,,37.8,,
"2","Large regions (TL2)","ME20","Oaxaca","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2013","2013",,,"0","Units",,,39,,
"2","Large regions (TL2)","FI1B","Helsinki-Uusimaa","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2011","2011",,,"0","Units",,,53.7,,
"2","Large regions (TL2)","US46","South Dakota","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2005","2005",,,"0","Units",,,52.6,,
"2","Large regions (TL2)","US45","South Carolina","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2006","2006",,,"0","Units",,,45.8,,
"2","Large regions (TL2)","ES13","Cantabria","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2004","2004",,,"0","Units",,,42,,
"2","Large regions (TL2)","US24","Maryland","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2004","2004",,,"0","Units",,,47.6,,
"2","Large regions (TL2)","TRC3","Southeastern Anatolia - East","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2012","2012",,,"0","Units",,,16.4,,
"2","Large regions (TL2)","AT21","Carinthia","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2010","2010",,,"0","Units",,,46,,
"2","Large regions (TL2)","US53","Washington","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2012","2012",,,"0","Units",,,45.4,,
"2","Large regions (TL2)","HU31","Northern Hungary","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2004","2004",,,"0","Units",,,29.1,,
"2","Large regions (TL2)","DE2","Bavaria","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2013","2013",,,"0","Units",,,56.5,,
"2","Large regions (TL2)","US01","Alabama","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2010","2010",,,"0","Units",,,40.7,,
"2","Large regions (TL2)","PT18","Alentejo","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2005","2005",,,"0","Units",,,46,,
"2","Large regions (TL2)","US16","Idaho","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2007","2007",,,"0","Units",,,46.4,,
"2","Large regions (TL2)","TRA1","Northeastern Anatolia - West","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2013","2013",,,"0","Units",,,29.3,,
"2","Large regions (TL2)","HU23","Southern Transdanubia","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2008","2008",,,"0","Units",,,31.2,,
"2","Large regions (TL2)","SK03","Central Slovakia","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2006","2006",,,"0","Units",,,36.4,,
"2","Large regions (TL2)","AT13","Vienna","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2012","2012",,,"0","Units",,,55.9,,
"2","Large regions (TL2)","AU4","South Australia","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2006","2006",,,"0","Units",,,48.3,,
"2","Large regions (TL2)","ES12","Asturias","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2012","2012",,,"0","Units",,,35.9,,
"2","Large regions (TL2)","US22","Louisiana","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2013","2013",,,"0","Units",,,44.1,,
"2","Large regions (TL2)","ES63","Ceuta ","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2012","2012",,,"0","Units",,,34.6,,
"2","Large regions (TL2)","TR83","Middle Black Sea","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2010","2010",,,"0","Units",,,34.1,,
"2","Large regions (TL2)","ES61","Andalusia","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2010","2010",,,"0","Units",,,35.3,,
"2","Large regions (TL2)","AU7","Northern Territory","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2011","2011",,,"0","Units",,,52.2,,
"2","Large regions (TL2)","US12","Florida","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2004","2004",,,"0","Units",,,45.3,,
"2","Large regions (TL2)","KR03","Gyeongbuk Region","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2013","2013",,,"0","Units",,,51.1,,
"2","Large regions (TL2)","PT11","North (PT)","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2011","2011",,,"0","Units",,,43.7,,
"2","Large regions (TL2)","ES52","Valencia","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2006","2006",,,"0","Units",,,44.7,,
"2","Large regions (TL2)","CA35","Ontario","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2010","2010",,,"0","Units",,,49.6,,
"2","Large regions (TL2)","ES23","La Rioja","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2013","2013",,,"0","Units",,,40.1,,
"2","Large regions (TL2)","US13","Georgia","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2013","2013",,,"0","Units",,,42.1,,
"2","Large regions (TL2)","TRC1","Southeastern Anatolia - West ","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2012","2012",,,"0","Units",,,25.3,,
"2","Large regions (TL2)","CA35","Ontario","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2013","2013",,,"0","Units",,,50.1,,
"2","Large regions (TL2)","US36","New York","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2007","2007",,,"0","Units",,,46.7,,
"2","Large regions (TL2)","ME14","Jalisco","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2013","2013",,,"0","Units",,,43.3,,
"2","Large regions (TL2)","US55","Wisconsin","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2004","2004",,,"0","Units",,,52.2,,
"2","Large regions (TL2)","ES13","Cantabria","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2012","2012",,,"0","Units",,,36.7,,
"2","Large regions (TL2)","HU22","Western Transdanubia","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2005","2005",,,"0","Units",,,42.4,,
"2","Large regions (TL2)","NO02","Innlandet","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2011","2011",,,"0","Units",,,45.9,,
"2","Large regions (TL2)","KR01","Seoul Capital Area","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2014","2014",,,"0","Units",,,51.6,,
"2","Large regions (TL2)","IL03","Haifa District","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2013","2013",,,"0","Units",,,45.1,,
"2","Large regions (TL2)","UKM","Scotland","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2012","2012",,,"0","Units",,,46.6,,
"2","Large regions (TL2)","ES53","Balearic Islands","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2008","2008",,,"0","Units",,,50.6,,
"2","Large regions (TL2)","SE11","Stockholm","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2008","2008",,,"0","Units",,,57.2,,
"2","Large regions (TL2)","ME10","Durango","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2012","2012",,,"0","Units",,,37.3,,
"2","Large regions (TL2)","SE31","North Middle Sweden","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2005","2005",,,"0","Units",,,43.4,,
"2","Large regions (TL2)","ME22","Queretaro","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2011","2011",,,"0","Units",,,38.6,,
"2","Large regions (TL2)","US29","Missouri","SNA_2008","Last SNA classification (SNA 2008 or latest available)","LAB_UTIL","Labour utilisation (% Total Employment over Population)","RATES","Rates (reference series)","ALL","All regions","2007","2007",,,"0","Units",,,49.1,,
