"TL","Territory level and Typology","REG_ID","Region","VAR","Indicator","POS","Position","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"2","Large regions (TL2)","AU4","South Australia","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2006","2006",,,"0","Units",,,6.13,,
"2","Large regions (TL2)","AU4","South Australia","CO2_KTONNES","CO2 Emissions (in kilo tonnes)","ALL","All regions","2008","2008",,,"0","Units",,,17102.2,,
"2","Large regions (TL2)","AU4","South Australia","CO2_CAPITA","CO2 Emissions Rate (in tonnes per capita)","ALL","All regions","2008","2008",,,"0","Units",,,10.8,,
"2","Large regions (TL2)","AU4","South Australia","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2009","2009",,,"0","Units",,,6.51,,
"2","Large regions (TL2)","AU4","South Australia","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2012","2012",,,"0","Units",,,6.38,,
"2","Large regions (TL2)","AU5","Western Australia","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2003","2003",,,"0","Units",,,8.25,,
"2","Large regions (TL2)","AU5","Western Australia","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2006","2006",,,"0","Units",,,8.1,,
"2","Large regions (TL2)","AU5","Western Australia","CO2_KTONNES","CO2 Emissions (in kilo tonnes)","ALL","All regions","2008","2008",,,"0","Units",,,52203.3,,
"2","Large regions (TL2)","AU5","Western Australia","CO2_CAPITA","CO2 Emissions Rate (in tonnes per capita)","ALL","All regions","2008","2008",,,"0","Units",,,24,,
"2","Large regions (TL2)","AU5","Western Australia","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2009","2009",,,"0","Units",,,8.58,,
"2","Large regions (TL2)","AU5","Western Australia","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2012","2012",,,"0","Units",,,8.6,,
"2","Large regions (TL2)","AU6","Tasmania","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2003","2003",,,"0","Units",,,7.26,,
"2","Large regions (TL2)","AU6","Tasmania","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2006","2006",,,"0","Units",,,7.08,,
"2","Large regions (TL2)","AU6","Tasmania","CO2_KTONNES","CO2 Emissions (in kilo tonnes)","ALL","All regions","2008","2008",,,"0","Units",,,6029.67,,
"2","Large regions (TL2)","AU6","Tasmania","CO2_CAPITA","CO2 Emissions Rate (in tonnes per capita)","ALL","All regions","2008","2008",,,"0","Units",,,12.1,,
"2","Large regions (TL2)","AU6","Tasmania","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2009","2009",,,"0","Units",,,7.02,,
"2","Large regions (TL2)","AU6","Tasmania","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2012","2012",,,"0","Units",,,6.97,,
"2","Large regions (TL2)","AU7","Northern Territory","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2003","2003",,,"0","Units",,,7.83,,
"2","Large regions (TL2)","AU7","Northern Territory","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2006","2006",,,"0","Units",,,7.84,,
"2","Large regions (TL2)","AU7","Northern Territory","CO2_KTONNES","CO2 Emissions (in kilo tonnes)","ALL","All regions","2008","2008",,,"0","Units",,,1159.99,,
"2","Large regions (TL2)","AU7","Northern Territory","CO2_CAPITA","CO2 Emissions Rate (in tonnes per capita)","ALL","All regions","2008","2008",,,"0","Units",,,5.3,,
"2","Large regions (TL2)","AU7","Northern Territory","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2009","2009",,,"0","Units",,,8.66,,
"2","Large regions (TL2)","AU7","Northern Territory","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2012","2012",,,"0","Units",,,8.91,,
"2","Large regions (TL2)","AU8","Canberra region (ACT)","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2003","2003",,,"0","Units",,,8.67,,
"2","Large regions (TL2)","AU8","Canberra region (ACT)","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2006","2006",,,"0","Units",,,7.29,,
"2","Large regions (TL2)","AU8","Canberra region (ACT)","CO2_KTONNES","CO2 Emissions (in kilo tonnes)","ALL","All regions","2008","2008",,,"0","Units",,,9507.83,,
"2","Large regions (TL2)","AU8","Canberra region (ACT)","CO2_CAPITA","CO2 Emissions Rate (in tonnes per capita)","ALL","All regions","2008","2008",,,"0","Units",,,27.3,,
"2","Large regions (TL2)","AU8","Canberra region (ACT)","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2009","2009",,,"0","Units",,,6.89,,
"2","Large regions (TL2)","AU8","Canberra region (ACT)","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2012","2012",,,"0","Units",,,6.84,,
"1","Country","AUT","Austria","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2003","2003",,,"0","Units",,,19.28,,
"1","Country","AUT","Austria","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2006","2006",,,"0","Units",,,18.86,,
"1","Country","AUT","Austria","CO2_KTONNES","CO2 Emissions (in kilo tonnes)","ALL","All regions","2008","2008",,,"0","Units",,,84989,,
"1","Country","AUT","Austria","CO2_CAPITA","CO2 Emissions Rate (in tonnes per capita)","ALL","All regions","2008","2008",,,"0","Units",,,10.2,,
"1","Country","AUT","Austria","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2009","2009",,,"0","Units",,,16.76,,
"1","Country","AUT","Austria","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2012","2012",,,"0","Units",,,14.89,,
"2","Large regions (TL2)","AT11","Burgenland","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2003","2003",,,"0","Units",,,20.24,,
"2","Large regions (TL2)","AT11","Burgenland","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2006","2006",,,"0","Units",,,19.91,,
"2","Large regions (TL2)","AT11","Burgenland","CO2_KTONNES","CO2 Emissions (in kilo tonnes)","ALL","All regions","2008","2008",,,"0","Units",,,1539.4,,
"2","Large regions (TL2)","AT11","Burgenland","CO2_CAPITA","CO2 Emissions Rate (in tonnes per capita)","ALL","All regions","2008","2008",,,"0","Units",,,5.5,,
"2","Large regions (TL2)","AT11","Burgenland","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2009","2009",,,"0","Units",,,17.12,,
"2","Large regions (TL2)","AT11","Burgenland","PM10_LESS20","Air Pollution in PM10 < 20 µg/m3 (number of inhabitants exposed to particles)","ALL","All regions","2010","2010",,,"0","Units",,,56793,,
"2","Large regions (TL2)","AT11","Burgenland","PM10_20MORE","Air Pollution in PM10 > 20 µg/m3 (number of inhabitants exposed to particles)","ALL","All regions","2010","2010",,,"0","Units",,,227172,,
"2","Large regions (TL2)","AT11","Burgenland","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2012","2012",,,"0","Units",,,15.28,,
"2","Large regions (TL2)","AT12","Lower Austria","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2003","2003",,,"0","Units",,,19.61,,
"2","Large regions (TL2)","AT12","Lower Austria","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2006","2006",,,"0","Units",,,19.35,,
"2","Large regions (TL2)","AT12","Lower Austria","CO2_KTONNES","CO2 Emissions (in kilo tonnes)","ALL","All regions","2008","2008",,,"0","Units",,,28464.7,,
"2","Large regions (TL2)","AT12","Lower Austria","CO2_CAPITA","CO2 Emissions Rate (in tonnes per capita)","ALL","All regions","2008","2008",,,"0","Units",,,17.8,,
"2","Large regions (TL2)","AT12","Lower Austria","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2009","2009",,,"0","Units",,,16.89,,
"2","Large regions (TL2)","AT12","Lower Austria","PM10_LESS20","Air Pollution in PM10 < 20 µg/m3 (number of inhabitants exposed to particles)","ALL","All regions","2010","2010",,,"0","Units",,,826321,,
"2","Large regions (TL2)","AT12","Lower Austria","PM10_20MORE","Air Pollution in PM10 > 20 µg/m3 (number of inhabitants exposed to particles)","ALL","All regions","2010","2010",,,"0","Units",,,781655,,
"2","Large regions (TL2)","AT12","Lower Austria","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2012","2012",,,"0","Units",,,15.08,,
"2","Large regions (TL2)","AT13","Vienna","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2003","2003",,,"0","Units",,,22.48,,
"2","Large regions (TL2)","AT13","Vienna","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2006","2006",,,"0","Units",,,22.21,,
"2","Large regions (TL2)","AT13","Vienna","CO2_KTONNES","CO2 Emissions (in kilo tonnes)","ALL","All regions","2008","2008",,,"0","Units",,,13076.3,,
"2","Large regions (TL2)","AT13","Vienna","CO2_CAPITA","CO2 Emissions Rate (in tonnes per capita)","ALL","All regions","2008","2008",,,"0","Units",,,7.8,,
"2","Large regions (TL2)","AT13","Vienna","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2009","2009",,,"0","Units",,,19.15,,
"2","Large regions (TL2)","AT13","Vienna","PM10_LESS20","Air Pollution in PM10 < 20 µg/m3 (number of inhabitants exposed to particles)","ALL","All regions","2010","2010",,,"0","Units",,,0,,
"2","Large regions (TL2)","AT13","Vienna","PM10_20MORE","Air Pollution in PM10 > 20 µg/m3 (number of inhabitants exposed to particles)","ALL","All regions","2010","2010",,,"0","Units",,,1698820,,
"2","Large regions (TL2)","AT13","Vienna","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2012","2012",,,"0","Units",,,17.16,,
"2","Large regions (TL2)","AT21","Carinthia","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2003","2003",,,"0","Units",,,17.17,,
"2","Large regions (TL2)","AT21","Carinthia","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2006","2006",,,"0","Units",,,16.81,,
"2","Large regions (TL2)","AT21","Carinthia","CO2_KTONNES","CO2 Emissions (in kilo tonnes)","ALL","All regions","2008","2008",,,"0","Units",,,3767.16,,
"2","Large regions (TL2)","AT21","Carinthia","CO2_CAPITA","CO2 Emissions Rate (in tonnes per capita)","ALL","All regions","2008","2008",,,"0","Units",,,6.7,,
"2","Large regions (TL2)","AT21","Carinthia","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2009","2009",,,"0","Units",,,15.02,,
"2","Large regions (TL2)","AT21","Carinthia","PM10_LESS20","Air Pollution in PM10 < 20 µg/m3 (number of inhabitants exposed to particles)","ALL","All regions","2010","2010",,,"0","Units",,,549835,,
"2","Large regions (TL2)","AT21","Carinthia","PM10_20MORE","Air Pollution in PM10 > 20 µg/m3 (number of inhabitants exposed to particles)","ALL","All regions","2010","2010",,,"0","Units",,,9479.92,,
"2","Large regions (TL2)","AT21","Carinthia","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2012","2012",,,"0","Units",,,13.22,,
"2","Large regions (TL2)","AT22","Styria","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2003","2003",,,"0","Units",,,20.69,,
"2","Large regions (TL2)","AT22","Styria","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2006","2006",,,"0","Units",,,20.22,,
"2","Large regions (TL2)","AT22","Styria","CO2_KTONNES","CO2 Emissions (in kilo tonnes)","ALL","All regions","2008","2008",,,"0","Units",,,11180.4,,
"2","Large regions (TL2)","AT22","Styria","CO2_CAPITA","CO2 Emissions Rate (in tonnes per capita)","ALL","All regions","2008","2008",,,"0","Units",,,9.3,,
"2","Large regions (TL2)","AT22","Styria","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2009","2009",,,"0","Units",,,18.16,,
"2","Large regions (TL2)","AT22","Styria","PM10_LESS20","Air Pollution in PM10 < 20 µg/m3 (number of inhabitants exposed to particles)","ALL","All regions","2010","2010",,,"0","Units",,,1035750,,
"2","Large regions (TL2)","AT22","Styria","PM10_20MORE","Air Pollution in PM10 > 20 µg/m3 (number of inhabitants exposed to particles)","ALL","All regions","2010","2010",,,"0","Units",,,172625,,
"2","Large regions (TL2)","AT22","Styria","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2012","2012",,,"0","Units",,,16.1,,
"2","Large regions (TL2)","AT31","Upper Austria","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2003","2003",,,"0","Units",,,18.26,,
"2","Large regions (TL2)","AT31","Upper Austria","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2006","2006",,,"0","Units",,,18.04,,
"2","Large regions (TL2)","AT31","Upper Austria","CO2_KTONNES","CO2 Emissions (in kilo tonnes)","ALL","All regions","2008","2008",,,"0","Units",,,17698.5,,
"2","Large regions (TL2)","AT31","Upper Austria","CO2_CAPITA","CO2 Emissions Rate (in tonnes per capita)","ALL","All regions","2008","2008",,,"0","Units",,,12.6,,
"2","Large regions (TL2)","AT31","Upper Austria","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2009","2009",,,"0","Units",,,16.1,,
"2","Large regions (TL2)","AT31","Upper Austria","PM10_LESS20","Air Pollution in PM10 < 20 µg/m3 (number of inhabitants exposed to particles)","ALL","All regions","2010","2010",,,"0","Units",,,1148130,,
"2","Large regions (TL2)","AT31","Upper Austria","PM10_20MORE","Air Pollution in PM10 > 20 µg/m3 (number of inhabitants exposed to particles)","ALL","All regions","2010","2010",,,"0","Units",,,263112,,
"2","Large regions (TL2)","AT31","Upper Austria","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2012","2012",,,"0","Units",,,14.16,,
"2","Large regions (TL2)","AT32","Salzburg","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2003","2003",,,"0","Units",,,16.35,,
"2","Large regions (TL2)","AT32","Salzburg","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2006","2006",,,"0","Units",,,15.89,,
"2","Large regions (TL2)","AT32","Salzburg","CO2_KTONNES","CO2 Emissions (in kilo tonnes)","ALL","All regions","2008","2008",,,"0","Units",,,3686.53,,
"2","Large regions (TL2)","AT32","Salzburg","CO2_CAPITA","CO2 Emissions Rate (in tonnes per capita)","ALL","All regions","2008","2008",,,"0","Units",,,7,,
"2","Large regions (TL2)","AT32","Salzburg","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2009","2009",,,"0","Units",,,14.37,,
"2","Large regions (TL2)","AT32","Salzburg","PM10_LESS20","Air Pollution in PM10 < 20 µg/m3 (number of inhabitants exposed to particles)","ALL","All regions","2010","2010",,,"0","Units",,,529861,,
"2","Large regions (TL2)","AT32","Salzburg","PM10_20MORE","Air Pollution in PM10 > 20 µg/m3 (number of inhabitants exposed to particles)","ALL","All regions","2010","2010",,,"0","Units",,,0,,
"2","Large regions (TL2)","AT32","Salzburg","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2012","2012",,,"0","Units",,,12.59,,
"2","Large regions (TL2)","AT33","Tyrol","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2003","2003",,,"0","Units",,,16.04,,
"2","Large regions (TL2)","AT33","Tyrol","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2006","2006",,,"0","Units",,,14.9,,
"2","Large regions (TL2)","AT33","Tyrol","CO2_KTONNES","CO2 Emissions (in kilo tonnes)","ALL","All regions","2008","2008",,,"0","Units",,,3236.44,,
"2","Large regions (TL2)","AT33","Tyrol","CO2_CAPITA","CO2 Emissions Rate (in tonnes per capita)","ALL","All regions","2008","2008",,,"0","Units",,,4.6,,
"2","Large regions (TL2)","AT33","Tyrol","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2009","2009",,,"0","Units",,,14.22,,
"2","Large regions (TL2)","AT33","Tyrol","PM10_LESS20","Air Pollution in PM10 < 20 µg/m3 (number of inhabitants exposed to particles)","ALL","All regions","2010","2010",,,"0","Units",,,706873,,
"2","Large regions (TL2)","AT33","Tyrol","PM10_20MORE","Air Pollution in PM10 > 20 µg/m3 (number of inhabitants exposed to particles)","ALL","All regions","2010","2010",,,"0","Units",,,0,,
"2","Large regions (TL2)","AT33","Tyrol","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2012","2012",,,"0","Units",,,12.57,,
"2","Large regions (TL2)","AT34","Vorarlberg","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2003","2003",,,"0","Units",,,16.35,,
"2","Large regions (TL2)","AT34","Vorarlberg","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2006","2006",,,"0","Units",,,15.22,,
"2","Large regions (TL2)","AT34","Vorarlberg","CO2_KTONNES","CO2 Emissions (in kilo tonnes)","ALL","All regions","2008","2008",,,"0","Units",,,2339.8,,
"2","Large regions (TL2)","AT34","Vorarlberg","CO2_CAPITA","CO2 Emissions Rate (in tonnes per capita)","ALL","All regions","2008","2008",,,"0","Units",,,6.4,,
"2","Large regions (TL2)","AT34","Vorarlberg","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2009","2009",,,"0","Units",,,14.4,,
"2","Large regions (TL2)","AT34","Vorarlberg","PM10_LESS20","Air Pollution in PM10 < 20 µg/m3 (number of inhabitants exposed to particles)","ALL","All regions","2010","2010",,,"0","Units",,,368868,,
"2","Large regions (TL2)","AT34","Vorarlberg","PM10_20MORE","Air Pollution in PM10 > 20 µg/m3 (number of inhabitants exposed to particles)","ALL","All regions","2010","2010",,,"0","Units",,,0,,
"2","Large regions (TL2)","AT34","Vorarlberg","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2012","2012",,,"0","Units",,,12.87,,
"1","Country","BEL","Belgium","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2003","2003",,,"0","Units",,,20.39,,
"1","Country","BEL","Belgium","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2006","2006",,,"0","Units",,,19.35,,
"1","Country","BEL","Belgium","CO2_KTONNES","CO2 Emissions (in kilo tonnes)","ALL","All regions","2008","2008",,,"0","Units",,,119229,,
"1","Country","BEL","Belgium","CO2_CAPITA","CO2 Emissions Rate (in tonnes per capita)","ALL","All regions","2008","2008",,,"0","Units",,,11.1,,
"1","Country","BEL","Belgium","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2009","2009",,,"0","Units",,,16.8,,
"1","Country","BEL","Belgium","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2012","2012",,,"0","Units",,,15.27,,
"2","Large regions (TL2)","BE1","Brussels Capital Region","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2003","2003",,,"0","Units",,,23.33,,
"2","Large regions (TL2)","BE1","Brussels Capital Region","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2006","2006",,,"0","Units",,,21.86,,
"2","Large regions (TL2)","BE1","Brussels Capital Region","CO2_KTONNES","CO2 Emissions (in kilo tonnes)","ALL","All regions","2008","2008",,,"0","Units",,,5055.73,,
"2","Large regions (TL2)","BE1","Brussels Capital Region","CO2_CAPITA","CO2 Emissions Rate (in tonnes per capita)","ALL","All regions","2008","2008",,,"0","Units",,,4.8,,
"2","Large regions (TL2)","BE1","Brussels Capital Region","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2009","2009",,,"0","Units",,,19.29,,
"2","Large regions (TL2)","BE1","Brussels Capital Region","PM10_LESS20","Air Pollution in PM10 < 20 µg/m3 (number of inhabitants exposed to particles)","ALL","All regions","2010","2010",,,"0","Units",,,0,,
"2","Large regions (TL2)","BE1","Brussels Capital Region","PM10_20MORE","Air Pollution in PM10 > 20 µg/m3 (number of inhabitants exposed to particles)","ALL","All regions","2010","2010",,,"0","Units",,,0,,
"2","Large regions (TL2)","BE1","Brussels Capital Region","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2012","2012",,,"0","Units",,,17.64,,
"2","Large regions (TL2)","BE2","Flemish Region","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2003","2003",,,"0","Units",,,20.9,,
"2","Large regions (TL2)","BE2","Flemish Region","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2006","2006",,,"0","Units",,,19.89,,
"2","Large regions (TL2)","BE2","Flemish Region","CO2_KTONNES","CO2 Emissions (in kilo tonnes)","ALL","All regions","2008","2008",,,"0","Units",,,79324.5,,
"2","Large regions (TL2)","BE2","Flemish Region","CO2_CAPITA","CO2 Emissions Rate (in tonnes per capita)","ALL","All regions","2008","2008",,,"0","Units",,,12.8,,
"2","Large regions (TL2)","BE2","Flemish Region","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2009","2009",,,"0","Units",,,17.22,,
"2","Large regions (TL2)","BE2","Flemish Region","PM10_LESS20","Air Pollution in PM10 < 20 µg/m3 (number of inhabitants exposed to particles)","ALL","All regions","2010","2010",,,"0","Units",,,0,,
"2","Large regions (TL2)","BE2","Flemish Region","PM10_20MORE","Air Pollution in PM10 > 20 µg/m3 (number of inhabitants exposed to particles)","ALL","All regions","2010","2010",,,"0","Units",,,6251980,,
"2","Large regions (TL2)","BE2","Flemish Region","AIR_POL","Air Pollution in PM2.5 (average level in µg/m³ experienced by the population)","ALL","All regions","2012","2012",,,"0","Units",,,15.59,,
